match_id,date,time_local,round,gameweek,home_team,away_team,home_goals,away_goals,home_pens,away_pens,venue,attendance,referee,notes,match_url,status,stats_scraped,stats_source,home_xg,away_xg,competition,competition_weight,home_possession,home_shots,home_shots_on_target,home_corners,home_fouls,home_offsides,home_cards_yellow,home_cards_red,home_saves,home_crosses,home_interceptions,home_tackles_won,away_possession,away_shots,away_shots_on_target,away_corners,away_fouls,away_offsides,away_cards_yellow,away_cards_red,away_saves,away_crosses,away_interceptions,away_tackles_won
3c1e3816,2026-06-11,13:00,Group stage,1.0,Mexico,South Africa,2,0,,,Estadio Banorte (Neutral Site),80824,Wilton Sampaio,,https://fbref.com/en/matches/3c1e3816/Mexico-South-Africa-June-11-2026-World-Cup,played,True,kaggle+fbref,1.84,0.52,FIFA World Cup,4.0,57,16,4,6,11,2,1,1,1,12,8,6,43,3,2,3,15,1,2,2,4,8,7,7
beebb792,2026-06-11,20:00,Group stage,1.0,South Korea,Czechia,2,1,,,Estadio Akron (Neutral Site),44985,Amin Omar,,https://fbref.com/en/matches/beebb792/Korea-Republic-Czechia-June-11-2026-World-Cup,played,True,kaggle+fbref,1.45,1.12,FIFA World Cup,4.0,54,12,5,4,10,1,1,0,2,12,11,4,46,10,3,3,13,2,0,0,4,15,7,7
f6d2bd84,2026-06-12,15:00,Group stage,1.0,Canada,Bosnia and Herzegovina,1,1,,,BMO Field (Neutral Site),43002,Facundo Tello,,https://fbref.com/en/matches/f6d2bd84/Canada-Bosnia-and-Herzegovina-June-12-2026-World-Cup,played,True,kaggle+fbref,1.35,0.98,FIFA World Cup,4.0,52,13,4,9,12,2,2,0,3,24,4,15,29,8,3,4,15,1,3,0,5,10,10,13
f6c0596c,2026-06-12,18:00,Group stage,1.0,USA,Paraguay,4,1,,,SoFi Stadium (Neutral Site),70492,Danny Makkelie,,https://fbref.com/en/matches/f6c0596c/United-States-Paraguay-June-12-2026-World-Cup,played,True,kaggle+fbref,2.76,0.88,FIFA World Cup,4.0,59,16,6,3,13,2,1,0,1,17,11,6,28,9,1,1,17,3,5,0,9,5,9,16
58580af9,2026-06-13,12:00,Group stage,1.0,Qatar,Switzerland,1,1,,,Levi's Stadium (Neutral Site),67966,Said Martínez,,https://fbref.com/en/matches/58580af9/Qatar-Switzerland-June-13-2026-World-Cup,played,True,kaggle+fbref,0.78,1.54,FIFA World Cup,4.0,28,6,3,3,12,1,2,0,4,8,10,9,58,26,7,10,11,0,1,0,2,35,7,6
72d993fd,2026-06-13,18:00,Group stage,1.0,Brazil,Morocco,1,1,,,MetLife Stadium (Neutral Site),80663,Slavko Vinčič,,https://fbref.com/en/matches/72d993fd/Brazil-Morocco-June-13-2026-World-Cup,played,True,kaggle+fbref,1.62,1.1,FIFA World Cup,4.0,55,12,5,6,16,0,2,0,3,16,5,12,45,14,3,2,14,1,0,0,4,15,4,18
58c3106f,2026-06-13,21:00,Group stage,1.0,Haiti,Scotland,0,1,,,Gillette Stadium (Neutral Site),64146,Mustapha Ghorbal,,https://fbref.com/en/matches/58c3106f/Haiti-Scotland-June-13-2026-World-Cup,played,True,kaggle+fbref,1.25,0.65,FIFA World Cup,4.0,44,14,1,5,12,2,1,0,5,23,6,7,56,12,3,6,10,3,3,0,2,14,6,6
4ff2342a,2026-06-13,21:00,Group stage,1.0,Australia,Türkiye,2,0,,,BC Place Stadium (Neutral Site),52497,Jesús Valenzuela,,https://fbref.com/en/matches/4ff2342a/Australia-Turkiye-June-13-2026-World-Cup,played,True,kaggle+fbref,1.48,0.72,FIFA World Cup,4.0,27,9,4,5,12,1,0,0,2,14,6,5,62,30,7,8,4,3,1,0,2,26,4,7
a2c54ed9,2026-06-14,12:00,Group stage,1.0,Germany,Curaçao,7,1,,,Reliant Stadium (Neutral Site),68021,Jalal Jiyed,,https://fbref.com/en/matches/a2c54ed9/Germany-Curacao-June-14-2026-World-Cup,played,True,kaggle+fbref,4.82,0.44,FIFA World Cup,4.0,63,25,12,8,10,1,0,0,1,12,10,13,37,8,1,1,12,2,0,0,5,7,16,7
faa0cb98,2026-06-14,15:00,Group stage,1.0,Netherlands,Japan,2,2,,,AT&T Stadium (Neutral Site),69285,Ismail Elfath,,https://fbref.com/en/matches/faa0cb98/Netherlands-Japan-June-14-2026-World-Cup,played,True,kaggle+fbref,1.95,1.82,FIFA World Cup,4.0,61,10,5,5,7,2,3,0,3,21,7,5,39,9,5,4,7,1,0,0,3,23,4,10
f8ee7eef,2026-06-14,19:00,Group stage,1.0,Côte d'Ivoire,Ecuador,1,0,,,Lincoln Financial Field (Neutral Site),68274,François Letexier,,https://fbref.com/en/matches/f8ee7eef/Cote-dIvoire-Ecuador-June-14-2026-World-Cup,played,True,kaggle+fbref,1.1,0.95,FIFA World Cup,4.0,41,15,4,3,12,2,3,0,3,7,11,9,49,12,1,5,14,3,1,0,3,14,13,14
